# Coding: utf-8
# File format version: 2
# Title: CAMS McClear v2.7 model of clear-sky irradiation.
# Content:  A time-series of solar radiation received on horizontal plane and plane always normal to the sun rays at ground level assuming clear sky.
#           Calls on the McClear clear-sky model. Returns the global, beam and diffuse irradiations integrated over a selected time step,
#           for a selected location (worldwide coverage) and a selected period.
# The research leading to these results has received funding from the European Union within the Copernicus programme.
# Provider: MINES ParisTech (France)
# More information at: http://www.soda-pro.com/web-services/radiation/cams-mcclear
# Date begin (ISO 8601): 2016-04-06T00:00:00.0
# Date end (ISO 8601): 2016-04-09T00:00:00.0
# Latitude (positive North, ISO 19115): 1.3400
# Longitude (positive East, ISO 19115): 103.6800
# Altitude (m): 29.00
# Time reference: Universal time (UT)
#
# Encoding partly from D2.8.III.13-14 INSPIRE Data Specification on Atmospheric Conditions and Meteorological Geographical Features - Technical Guidelines (2013-12-10) and CF (Climate and Forecast) metadata (2013-11-11)
# CF Standard Names registry of ObservablePropertyValue
# http://cfconventions.org/Data/cf-standard-names/27/build/cf-standard-name-table.html
# urn:x-inspire:specification:DS-AC-MF:observable-property-name:cf-standard-name:1.6
# ObservableProperty
#     basePhenomenon:"integral_of_surface_downwelling_shortwave_flux_in_air_assuming_clear_sky_wrt_time"
#     uom:"Wh m-2" [unit]
# StatisticalMeasure
#     statisticalFunction: "sum"
# Summarization (integration) period: 0 year 0 month 0 day 0 h 1 min 0 s
# noValue: nan
#
# Columns:
# 1. Observation period (ISO 8601)
# 2. TOA. Irradiation on horizontal plane at the top of atmosphere (Wh/m2)
# 3. Clear sky GHI. Clear sky global irradiation on horizontal plane at ground level (Wh/m2)
# 4. Clear sky BHI. Clear sky beam irradiation on horizontal plane at ground level (Wh/m2)
# 5. Clear sky DHI. Clear sky diffuse irradiation on horizontal plane at ground level (Wh/m2)
# 6. Clear sky BNI. Clear sky beam irradiation on mobile plane following the sun at normal incidence (Wh/m2)
#
# Observation period;TOA;Clear sky GHI;Clear sky BHI;Clear sky DHI;Clear sky BNI
2016-04-06T00:00:00.0/2016-04-06T00:01:00.0;5.2210;2.4328;1.4394;0.9934;6.2750
2016-04-06T00:01:00.0/2016-04-06T00:02:00.0;5.3170;2.4931;1.4841;1.0091;6.3530
2016-04-06T00:02:00.0/2016-04-06T00:03:00.0;5.4130;2.5536;1.5290;1.0246;6.4294
2016-04-06T00:03:00.0/2016-04-06T00:04:00.0;5.5088;2.6141;1.5742;1.0399;6.5043
2016-04-06T00:04:00.0/2016-04-06T00:05:00.0;5.6045;2.6748;1.6196;1.0552;6.5777
2016-04-06T00:05:00.0/2016-04-06T00:06:00.0;5.7001;2.7356;1.6653;1.0703;6.6496
2016-04-06T00:06:00.0/2016-04-06T00:07:00.0;5.7955;2.7964;1.7111;1.0853;6.7200
2016-04-06T00:07:00.0/2016-04-06T00:08:00.0;5.8909;2.8574;1.7571;1.1002;6.7891
2016-04-06T00:08:00.0/2016-04-06T00:09:00.0;5.9862;2.9207;1.8042;1.1164;6.8601
2016-04-06T00:09:00.0/2016-04-06T00:10:00.0;6.0813;2.9841;1.8515;1.1325;6.9298
2016-04-06T00:10:00.0/2016-04-06T00:11:00.0;6.1764;3.0476;1.8990;1.1486;6.9981
2016-04-06T00:11:00.0/2016-04-06T00:12:00.0;6.2713;3.1112;1.9467;1.1645;7.0652
2016-04-06T00:12:00.0/2016-04-06T00:13:00.0;6.3661;3.1749;1.9945;1.1804;7.1311
2016-04-06T00:13:00.0/2016-04-06T00:14:00.0;6.4608;3.2387;2.0425;1.1961;7.1957
2016-04-06T00:14:00.0/2016-04-06T00:15:00.0;6.5553;3.3026;2.0907;1.2119;7.2592
2016-04-06T00:15:00.0/2016-04-06T00:16:00.0;6.6498;3.3665;2.1391;1.2275;7.3216
2016-04-06T00:16:00.0/2016-04-06T00:17:00.0;6.7441;3.4306;2.1875;1.2430;7.3828
2016-04-06T00:17:00.0/2016-04-06T00:18:00.0;6.8383;3.4947;2.2362;1.2585;7.4430
